PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,NumFam,C,Q,S,Age_nul
1,0,3,0,22.0,1,0,0,7.25,0,1,0,0,1,0
2,1,1,1,38.0,1,0,1,71.2833,1,1,1,0,0,0
3,1,3,1,26.0,0,0,2,7.925,0,0,0,0,1,0
4,1,1,1,35.0,1,0,3,53.1,2,1,0,0,1,0
5,0,3,0,35.0,0,0,4,8.05,0,0,0,0,1,0
6,0,3,0,29.69911764705882,0,0,5,8.4583,0,0,0,1,0,1
7,0,1,0,54.0,0,0,6,51.8625,3,0,0,0,1,0
8,0,3,0,2.0,3,1,7,21.075,0,4,0,0,1,0
9,1,3,1,27.0,0,2,8,11.1333,0,2,0,0,1,0
10,1,2,1,14.0,1,0,9,30.0708,0,1,1,0,0,0
11,1,3,1,4.0,1,1,10,16.7,4,2,0,0,1,0
12,1,1,1,58.0,0,0,11,26.55,5,0,0,0,1,0
13,0,3,0,20.0,0,0,12,8.05,0,0,0,0,1,0
14,0,3,0,39.0,1,5,13,31.275,0,6,0,0,1,0
15,0,3,1,14.0,0,0,14,7.8542,0,0,0,0,1,0
16,1,2,1,55.0,0,0,15,16.0,0,0,0,0,1,0
17,0,3,0,2.0,4,1,16,29.125,0,5,0,1,0,0
18,1,2,0,29.69911764705882,0,0,17,13.0,0,0,0,0,1,1
19,0,3,1,31.0,1,0,18,18.0,0,1,0,0,1,0
20,1,3,1,29.69911764705882,0,0,19,7.225,0,0,1,0,0,1
21,0,2,0,35.0,0,0,20,26.0,0,0,0,0,1,0
22,1,2,0,34.0,0,0,21,13.0,6,0,0,0,1,0
23,1,3,1,15.0,0,0,22,8.0292,0,0,0,1,0,0
24,1,1,0,28.0,0,0,23,35.5,7,0,0,0,1,0
25,0,3,1,8.0,3,1,7,21.075,0,4,0,0,1,0
26,1,3,1,38.0,1,5,24,31.3875,0,6,0,0,1,0
27,0,3,0,29.69911764705882,0,0,25,7.225,0,0,1,0,0,1
28,0,1,0,19.0,3,2,26,263.0,8,5,0,0,1,0
29,1,3,1,29.69911764705882,0,0,27,7.8792,0,0,0,1,0,1
30,0,3,0,29.69911764705882,0,0,28,7.8958,0,0,0,0,1,1
31,0,1,0,40.0,0,0,29,27.7208,0,0,1,0,0,0
